x           y           z           G           L           A           T
-0.003938 0.000000 0.000000 424690.901738 2965225.666995 454013.810852 1901.565699
-0.003916 0.000000 0.000000 424700.687862 2971762.699574 454034.923485 1902.612865
-0.003896 0.000000 0.000000 424710.334174 2978275.490773 454055.815015 1903.654431
-0.003875 0.000000 0.000000 424719.839958 2984763.879828 454076.484406 1904.690398
-0.003854 0.000000 0.000000 424729.204505 2991227.706533 454096.930440 1905.720764
-0.003833 0.000000 0.000000 424738.427105 2997666.811242 454117.152093 1906.745531
-0.003812 0.000000 0.000000 424747.507049 3004081.034881 454137.148155 1907.764698
-0.003791 0.000000 0.000000 424756.443633 3010470.218945 454156.917602 1908.778265
-0.003769 0.000000 0.000000 424765.236154 3016834.205510 454176.459245 1909.786232
-0.003749 0.000000 0.000000 424773.883910 3023172.837231 454195.772040 1910.788599
-0.003728 0.000000 0.000000 424782.386201 3029485.957350 454214.854845 1911.785367
-0.003707 0.000000 0.000000 424790.742332 3035773.409700 454233.706569 1912.776535
-0.003685 0.000000 0.000000 424798.951608 3042035.038710 454252.326133 1913.762103
-0.003665 0.000000 0.000000 424807.013335 3048270.689409 454270.712397 1914.742071
-0.003644 0.000000 0.000000 424814.926824 3054480.207431 454288.864340 1915.716439
-0.003623 0.000000 0.000000 424822.691386 3060663.439019 454306.780794 1916.685208
-0.003602 0.000000 0.000000 424830.306335 3066820.231030 454324.460766 1917.648377
-0.003581 0.000000 0.000000 424837.770987 3072950.430937 454341.903087 1918.605945
-0.003560 0.000000 0.000000 424845.084661 3079053.886840 454359.106764 1919.557914
-0.003539 0.000000 0.000000 424852.246677 3085130.447461 454376.070662 1920.504284
-0.003518 0.000000 0.000000 424859.256358 3091179.962158 454392.793747 1921.445053
-0.003497 0.000000 0.000000 424866.113029 3097202.280922 454409.274950 1922.380223
-0.003476 0.000000 0.000000 424872.816018 3103197.254386 454425.513171 1923.309793
-0.003455 0.000000 0.000000 424879.364654 3109164.733826 454441.507419 1924.233762
-0.003434 0.000000 0.000000 424885.758269 3115104.571168 454457.256557 1925.152133
-0.003413 0.000000 0.000000 424891.996198 3121016.618991 454472.759624 1926.064903
-0.003392 0.000000 0.000000 424898.077777 3126900.730532 454488.015494 1926.972073
-0.003371 0.000000 0.000000 424904.002345 3132756.759689 454503.023181 1927.873644
-0.003350 0.000000 0.000000 424909.769244 3138584.561025 454517.781620 1928.769615
